x,y,u,v,p,vMag
-1.60226842e-01,-2.39443074e-02,6.42844796e-01,1.22156873e-01,1.11598074e+00,6.54348314e-01
5.59078941e-01,1.20991144e-01,2.00595045e+00,-1.83293688e+00,1.42500007e+00,2.71725869e+00
-2.77057693e-01,-1.83567849e-01,5.37742138e-01,9.13515836e-02,3.03008854e-01,5.45446336e-01
-1.26986468e-01,-2.34518224e-01,8.22743416e-01,2.59964764e-01,9.35813963e-01,8.62837374e-01
3.38167555e-01,-3.64623460e-02,6.06628656e-02,-4.68159974e-01,-1.01679802e+00,4.72073883e-01
4.40819834e-01,-3.02942686e-01,-1.15230918e-01,-9.31917548e-01,-9.13680494e-01,9.39014614e-01
5.83284296e-01,1.40945908e-01,2.35635328e+00,-1.92568767e+00,1.64728093e+00,3.04313540e+00
3.03188422e-01,-1.63603218e-02,-4.09265533e-02,6.94889009e-01,-1.06203280e-01,6.96093202e-01
-2.96229363e-01,-1.99571750e-01,5.14840126e-01,7.53725320e-02,2.78991580e-01,5.20328164e-01
5.93587188e-01,-3.67933831e-01,2.67427182e+00,-1.80299020e+00,1.98050225e+00,3.22529125e+00
5.03514845e-01,-1.18081860e-01,1.14753318e+00,-1.59687662e+00,6.80046439e-01,1.96643019e+00
-2.96193587e-01,2.69834461e-01,6.32451177e-01,1.05923012e-01,1.09283257e+00,6.41259849e-01
2.74734783e-01,-1.98472099e-01,2.70097792e-01,-9.25934091e-02,3.82803321e-01,2.85528213e-01
6.06818296e-01,-2.05114211e-01,2.80820990e+00,-1.94874740e+00,1.94594228e+00,3.41813660e+00
-3.60990877e-01,-7.54509003e-02,5.16908765e-01,7.71188736e-02,2.81005323e-01,5.22629857e-01
3.97072186e-01,6.67466182e-02,1.45699754e-01,-6.67712986e-01,-3.45416367e-04,6.83424473e-01
-1.55020804e-01,1.21132028e-01,8.28925610e-01,2.68946886e-01,8.15829098e-01,8.71464372e-01
2.84890465e-01,-2.56686576e-01,8.91656801e-02,-2.44289339e-02,-5.86468317e-02,9.24515575e-02
-2.80151697e-01,7.46565590e-02,7.90921330e-01,2.46333137e-01,1.06228232e+00,8.28393936e-01
2.50899236e-01,1.11159902e-01,-6.04942143e-02,-4.63441312e-02,3.03465664e-01,7.62058273e-02
-1.05446764e-01,-1.67624326e-01,6.83729410e-01,1.84163585e-01,1.18478000e+00,7.08097577e-01
-8.71151314e-02,-3.60552461e-01,8.03864717e-01,2.59449005e-01,6.67816997e-01,8.44696581e-01
-3.30947760e-01,1.31759705e-01,8.28867555e-01,2.64117718e-01,9.08991218e-01,8.69930804e-01
-2.25113076e-01,3.40776544e-01,6.77882433e-02,-2.57116079e-01,-4.32477772e-01,2.65902102e-01
2.82834830e-01,1.67211938e-01,4.36114073e-01,5.64806402e-01,5.31577229e-01,7.13583767e-01
-8.14713570e-02,7.85843550e-02,6.82437569e-02,-2.59894282e-01,-4.35117424e-01,2.68704742e-01
4.44704022e-01,2.44211948e-02,-2.99228072e-01,-1.19815636e+00,-1.43025815e+00,1.23495591e+00
2.84111534e-01,1.29366897e-01,3.72192979e-01,6.27747118e-01,5.13347268e-01,7.29790449e-01
2.44162129e-01,8.42823073e-02,-2.22704604e-01,-1.45829186e-01,2.71804333e-01,2.66201973e-01
1.52808537e-02,-7.59240213e-02,6.26663417e-02,-2.51439154e-01,-4.28588033e-01,2.59130687e-01
3.22964670e-01,3.23020286e-01,1.23861648e-01,5.57438016e-01,1.28757015e-01,5.71033120e-01
1.09852921e-01,1.73025581e-01,3.39871138e-01,3.77562702e-01,-6.57406300e-02,5.08001983e-01
2.22914558e-01,1.12536194e-01,-6.27070546e-01,-2.72590697e-01,3.56446385e-01,6.83756649e-01
-3.20879025e-01,1.45538557e-01,7.93796301e-01,2.47009352e-01,1.05222535e+00,8.31340015e-01
9.52352211e-02,1.26598519e-01,2.46534944e-01,-9.87195969e-03,-3.87721360e-01,2.46732518e-01
-4.91312202e-02,-1.11000430e-01,7.23879933e-01,2.21478119e-01,1.18239343e+00,7.57003725e-01
-2.34335152e-01,3.58567889e-01,6.13685995e-02,-2.55519390e-01,-4.33103263e-01,2.62785584e-01
6.71291403e-02,8.10494441e-02,-4.92011398e-01,6.37572885e-01,1.94277450e-01,8.05341184e-01
-4.19934956e-02,2.91726945e-01,3.82987022e-01,4.19250607e-01,-6.54696822e-02,5.67846954e-01
-1.15329469e-01,-8.04145823e-02,6.31891370e-01,1.01700827e-01,1.08778822e+00,6.40023232e-01
6.41648985e-02,2.75612621e-01,6.39581800e-01,-2.03443840e-01,1.79010987e+00,6.71158910e-01
-4.65542978e-02,1.88139347e-01,-6.42748952e-01,5.22483170e-01,2.30763331e-01,8.28320563e-01
-1.47309675e-01,2.75199024e-01,-2.67828822e-01,1.15624920e-01,-1.03894830e-01,2.91721433e-01
-5.89658809e-02,-2.83614429e-01,7.24452853e-01,2.23812953e-01,1.18749976e+00,7.58237541e-01
5.45733464e-01,-1.27403776e-01,1.93743396e+00,-1.54977894e+00,1.63633704e+00,2.48102093e+00
2.28914989e-01,-2.80745109e-01,3.15069228e-01,-1.08135140e+00,-7.46415317e-01,1.12631679e+00
-4.20397596e-02,-2.60163045e-01,6.62449479e-01,1.55831024e-01,1.15848708e+00,6.80531144e-01
4.02179768e-01,1.46471377e-01,3.92847210e-02,-6.76837564e-01,2.74787396e-02,6.77976668e-01
2.34843082e-01,2.70423782e-01,-5.50890565e-01,-3.24837178e-01,8.11053067e-02,6.39530778e-01
-3.00427306e-01,-7.71527089e-02,5.97599030e-01,1.30612835e-01,3.62680852e-01,6.11706078e-01
-3.01939879e-01,2.50350470e-02,7.93436527e-01,2.53038526e-01,6.38776004e-01,8.32808495e-01
3.02540172e-01,1.56201674e-02,3.41376290e-03,7.91990221e-01,5.79630435e-02,7.91997612e-01
4.98874807e-01,2.61466398e-01,8.15262675e-01,-1.67050362e+00,-2.37361759e-01,1.85882640e+00
3.83146206e-01,-5.38687960e-02,3.44819158e-01,-6.09253049e-01,-1.30142897e-01,7.00063944e-01
4.16482643e-01,1.59466978e-02,-6.66684031e-01,-1.02175474e+00,-7.32181966e-01,1.22002065e+00
4.17800595e-01,-3.04272555e-01,-6.97828293e-01,-9.93310213e-01,-8.76289070e-01,1.21393144e+00
2.99002376e-01,-1.63800791e-01,-6.59659058e-02,2.21068308e-01,-5.70407271e-01,2.30700448e-01
-3.08681067e-01,-3.15446051e-01,4.94448304e-01,6.02236539e-02,2.55892277e-01,4.98102397e-01
-2.31093363e-01,-7.19938456e-02,8.32256317e-01,2.71201253e-01,7.93538094e-01,8.75328898e-01
4.99688365e-02,-3.20164340e-01,6.37602568e-01,1.15655556e-01,1.10644829e+00,6.48007095e-01
-4.43714535e-02,3.58105993e-01,5.77699661e-01,-1.12020604e-01,1.52544260e+00,5.88460326e-01
1.96509263e-01,1.29006957e-01,-3.57356012e-01,-3.01013470e-01,-5.21523356e-01,4.67239171e-01
4.82535991e-02,-2.27417124e-01,8.12821984e-01,2.54525244e-01,9.94177759e-01,8.51740956e-01
3.51168061e-01,-2.50587132e-01,3.12106252e-01,-3.09507132e-01,-9.73748863e-02,4.39550877e-01
-8.92341011e-02,-1.45311872e-01,6.37695551e-01,1.11980245e-01,1.10226607e+00,6.47452831e-01
4.11503012e-01,1.37584549e-01,-3.68427724e-01,-9.05970275e-01,-3.45773578e-01,9.78018939e-01
-1.66474405e-01,-2.46478580e-01,7.40245104e-01,2.21480265e-01,5.36595404e-01,7.72668302e-01
-2.88370365e-01,3.04704604e-01,6.83599949e-01,1.85004815e-01,1.18629003e+00,7.08191812e-01
-3.64580845e-01,-2.02024022e-02,5.41188836e-01,9.40842181e-02,3.06152225e-01,5.49306095e-01
3.18174553e-01,-7.89371826e-02,-5.02591580e-02,-2.90263027e-01,-1.12087989e+00,2.94582099e-01
-2.43997020e-01,3.07773386e-01,6.48363113e-01,1.65437773e-01,4.14388955e-01,6.69137061e-01
-3.65778264e-01,3.25549309e-01,6.63338900e-01,1.55393228e-01,1.15764892e+00,6.81297004e-01
-2.05416056e-01,-9.04921885e-02,8.24725151e-01,2.61082828e-01,9.35399234e-01,8.65064025e-01
-1.65758667e-01,3.30640527e-01,-2.80523926e-01,2.95713186e-01,1.10353932e-01,4.07602698e-01
-1.19511817e-01,3.04477174e-01,-5.34473777e-01,5.04187524e-01,2.39116326e-01,7.34756589e-01
3.35002043e-01,5.53167757e-02,-3.72545756e-02,-6.49882555e-01,-1.20086133e+00,6.50949478e-01
8.87951129e-02,3.46200480e-01,8.34263563e-01,-5.80754995e-01,2.57588172e+00,1.01649988e+00
6.24330850e-01,9.11946423e-02,2.97042394e+00,-2.17126250e+00,1.87096012e+00,3.67937493e+00
5.59568275e-01,-3.82438098e-02,2.10078096e+00,-1.65842557e+00,1.67570257e+00,2.67650056e+00
1.94300659e-02,1.15576106e-02,-2.67957777e-01,2.26644531e-01,1.91916078e-02,3.50954592e-01
1.12772929e-01,-8.49455713e-02,-2.94672817e-01,8.80915970e-02,-1.33306742e-01,3.07558447e-01
-2.08440794e-01,-1.89422917e-02,7.36273885e-01,2.30578229e-01,1.17645025e+00,7.71534562e-01
-4.07347876e-02,-8.14960106e-02,8.28248143e-01,2.69912422e-01,7.88119495e-01,8.71118665e-01
-1.47904656e-02,-3.53914120e-01,7.19849348e-01,2.23665968e-01,1.19817615e+00,7.53796756e-01
1.82723171e-01,-8.23902764e-02,-5.11654377e-01,-2.71442592e-01,-3.27483475e-01,5.79198837e-01
3.12036013e-01,-3.43717833e-01,-2.91829377e-01,-8.26605976e-01,-1.58173716e+00,8.76608133e-01
5.39196884e-01,2.84578085e-01,1.55995488e+00,-1.99834394e+00,6.91348314e-01,2.53512096e+00
1.01010925e-01,3.37179516e-01,7.87406564e-01,-4.21137929e-01,2.30076241e+00,8.92953694e-01
-5.86948930e-02,3.15490444e-01,3.67499948e-01,4.06113207e-01,-7.05688149e-02,5.47708094e-01
5.97343526e-01,-2.43194578e-01,2.68867350e+00,-1.84471345e+00,1.95784748e+00,3.26066446e+00
-1.63097643e-01,-2.23171727e-03,6.33968472e-01,1.06916651e-01,1.09475744e+00,6.42920852e-01
3.90194273e-01,-1.01213897e-01,1.86308727e-01,-7.12688088e-01,-1.20259434e-01,7.36637831e-01
-6.01465868e-02,1.39971533e-01,-2.79809743e-01,2.66846240e-01,7.22903311e-02,3.86652827e-01
1.94151990e-01,2.18078462e-01,-2.95620263e-02,-3.78904581e-01,-7.54341304e-01,3.80056024e-01
3.46454512e-01,3.09781188e-01,-9.84797925e-02,-7.86034465e-01,-1.00928211e+00,7.92179585e-01
-1.77968878e-01,2.22830704e-01,3.19611460e-01,-1.46344289e-01,-1.31814972e-01,3.51522595e-01
4.51126089e-02,6.71608103e-02,-6.77128911e-01,5.44442177e-01,2.41310641e-01,8.68861794e-01
5.04438361e-01,1.26485917e-01,1.00036454e+00,-1.71097291e+00,1.23465121e-01,1.98195791e+00
4.36263506e-01,2.92863253e-01,-6.87354445e-01,-1.13506746e+00,-1.11867464e+00,1.32696426e+00
-1.91034269e-02,-1.49490150e-01,7.52067447e-01,2.35469505e-01,1.14846838e+00,7.88068116e-01
-4.04861432e-04,-2.91533581e-01,6.33439898e-01,1.12228498e-01,1.10046041e+00,6.43305004e-01
-2.69336326e-01,9.07028367e-02,7.39276052e-01,2.32276633e-01,1.17379248e+00,7.74907410e-01
4.44938098e-01,2.83417353e-01,-5.04836321e-01,-1.25016236e+00,-1.45083368e+00,1.34824538e+00
7.00024098e-02,2.03252307e-01,3.26677948e-01,3.04366291e-01,1.58552617e-01,4.46494460e-01
5.99361355e-01,1.73264840e-01,2.57773471e+00,-2.03285480e+00,1.72868419e+00,3.28286695e+00
4.85731388e-01,-3.64474250e-01,9.28409457e-01,-1.44271326e+00,6.11246705e-01,1.71562397e+00
2.86962088e-01,-1.57487996e-01,6.62125424e-02,3.17623079e-01,1.96306273e-01,3.24451119e-01
2.38950192e-01,-1.66680185e-02,1.97769050e-02,-1.67996421e-01,1.12771764e-01,1.69156507e-01
4.72931675e-01,2.95899261e-01,2.09689885e-01,-1.45412719e+00,-1.04767656e+00,1.46916842e+00
1.10361131e-01,1.12450287e-01,2.66470671e-01,7.30201751e-02,-2.69735634e-01,2.76294351e-01
-1.26227944e-01,1.46999731e-01,1.57734886e-01,-2.58519143e-01,-3.89426291e-01,3.02840620e-01
3.88941453e-01,5.36032268e-02,3.10529619e-01,-5.75433195e-01,-5.33132032e-02,6.53874576e-01
1.80635948e-01,-2.64612141e-01,4.54002544e-02,-6.13431513e-01,-7.41432905e-01,6.15109265e-01
4.17628269e-01,3.55220143e-01,-3.32083642e-01,-7.29478896e-01,-1.43229514e-01,8.01510453e-01
1.84651042e-01,-3.17937491e-01,1.66280538e-01,-4.30235326e-01,-4.35728312e-01,4.61250097e-01
5.82879422e-01,-1.60126924e-01,2.46835303e+00,-1.72044480e+00,1.91618764e+00,3.00876999e+00
-1.22309838e-01,2.26753154e-01,-2.66376793e-01,8.94523710e-02,-1.31428748e-01,2.80995250e-01
-2.30023417e-01,-1.89710140e-01,6.19147182e-01,1.44405499e-01,3.84688020e-01,6.35764241e-01
3.29094395e-01,-2.15600431e-01,-5.95356449e-02,-6.01302743e-01,-1.26296473e+00,6.04242921e-01
-1.87354710e-01,3.13779576e-01,-1.71554819e-01,-1.19064599e-01,-3.36622477e-01,2.08823934e-01
4.63187250e-01,-2.80658551e-01,4.00224030e-01,-1.16268146e+00,-5.35274073e-02,1.22963715e+00
2.67853363e-01,1.58194381e-02,4.31978822e-01,1.82174489e-01,4.18706656e-01,4.68821138e-01
6.24675251e-01,-9.63085929e-02,3.02857852e+00,-2.15275383e+00,1.90899873e+00,3.71572828e+00
6.10431151e-01,-1.07303452e-01,2.83011603e+00,-1.99293721e+00,1.92604113e+00,3.46140957e+00
-1.69141381e-01,-3.24722970e-01,5.85525393e-01,1.23335883e-01,3.50179136e-01,5.98374248e-01
-3.25402501e-01,-1.31160987e-02,6.26149535e-01,1.48925141e-01,3.91981065e-01,6.43616319e-01
2.76409607e-01,-1.98941756e-01,2.46505290e-01,-4.17595506e-02,3.75223160e-01,2.50017434e-01
-1.87266516e-01,3.22530546e-01,-2.15756461e-01,-6.88905567e-02,-2.93092996e-01,2.26487875e-01
2.10767386e-01,1.94431535e-01,-2.66115248e-01,-4.22089934e-01,-5.06767333e-01,4.98976201e-01
3.96069251e-01,3.44919642e-01,-2.49963552e-01,-9.34473723e-02,1.44381315e-01,2.66859859e-01
1.62373657e-01,1.24167705e-01,-4.17914316e-02,8.06546807e-02,-3.72108579e-01,9.08388793e-02
2.08619870e-01,2.13647514e-01,-2.08339319e-01,-4.98754561e-01,-6.28449678e-01,5.40519536e-01
9.61282054e-02,-2.16637455e-01,3.56500179e-01,-9.26027745e-02,-2.34758481e-02,3.68330896e-01
-2.24348996e-01,1.40299030e-01,6.32925034e-01,1.06597617e-01,1.09384835e+00,6.41838849e-01
2.93792227e-01,-1.75433395e-01,-3.17121185e-02,2.63516843e-01,-2.61460483e-01,2.65418112e-01
1.54553357e-01,3.40260483e-01,5.39390326e-01,5.88349998e-02,5.46573043e-01,5.42589605e-01
1.46649095e-01,-1.47150283e-01,-2.00018272e-01,-3.86572391e-01,-6.32398009e-01,4.35253412e-01
-1.13779965e-01,1.42770868e-01,3.20115313e-02,-2.48751193e-01,-4.34200585e-01,2.50802517e-01
3.38714313e-01,-9.15948328e-02,7.65424222e-02,-4.02450979e-01,-9.51521218e-01,4.09665138e-01
2.95961053e-01,3.96808194e-02,1.15508325e-01,8.57122719e-01,3.22731137e-01,8.64870846e-01
-1.01127282e-01,-1.70040291e-01,6.77661419e-01,1.75950304e-01,1.17814994e+00,7.00131059e-01
-1.12446734e-01,-2.61742377e-01,8.23189616e-01,2.60286212e-01,9.32495475e-01,8.63359749e-01
-4.27412198e-02,-1.26505850e-01,7.13456273e-01,2.14858904e-01,1.19133413e+00,7.45106816e-01
-3.13915376e-01,1.00130478e-01,8.29931021e-01,2.64899015e-01,9.03409839e-01,8.71181369e-01
4.30907276e-01,-2.26719324e-01,-4.59355623e-01,-1.08741033e+00,-1.22795916e+00,1.18045282e+00
4.13919856e-01,-5.16485958e-02,-6.43493295e-01,-1.02291644e+00,-7.06947863e-01,1.20848727e+00
